id,store_id,description,current_stock,units_per_bulk,stock_bulks,stock_units,split_total,difference
a3571a84-d977-47c2-a775-5e5a30d73ad2,1a13bda2-e725-4fe3-8d4f-ba6683e98c72,Aceite Patrona 1L,19,1,19,0,19,0
011b68fe-0995-47b9-bbe8-e2e6420d3c97,4e2d3397-c839-493a-b908-88251ae05924,Aceite Clover Bolsa 500ml,409,24,17,1,409,0
acd4bce9-3ea8-4ae2-9081-a00567a26d01,4e2d3397-c839-493a-b908-88251ae05924,Aceite Ideal Botella 750ml,461,12,38,5,461,0
5f94b9ef-1216-48a0-aca4-a1b81d7c272f,4e2d3397-c839-493a-b908-88251ae05924,Agua Alpina 500ml,203,24,8,11,203,0
1d62106f-6421-4de0-8964-929b215b4908,4e2d3397-c839-493a-b908-88251ae05924,Aromatizante Glade Limón 400ml,446,12,37,2,446,0
a5da15a0-270e-4330-958a-2a6aae99d52a,4e2d3397-c839-493a-b908-88251ae05924,Arroz Faisán 80/20 1 Lb,475,25,19,0,475,0
9bee0f1d-1982-4eb5-a742-8f159d21405c,4e2d3397-c839-493a-b908-88251ae05924,Arroz Faisán Faisanito 1 Lb,417,25,16,17,417,0
76978146-de6d-4a03-87c5-f577fd9d6ac0,4e2d3397-c839-493a-b908-88251ae05924,Avena Quaker En Hojuelas 400g,467,24,19,11,467,0
180f0442-c962-4155-9aaa-d63b7a1aab8c,4e2d3397-c839-493a-b908-88251ae05924,Azúcar Sulí Blanca 1 Kg,249,25,9,24,249,0
9017de56-4c3f-4e85-929f-8f1512969b62,4e2d3397-c839-493a-b908-88251ae05924,Bombillo LED Philips 9W,445,12,37,1,445,0
44aabda0-ca6e-4f85-a40f-6be7022f6402,4e2d3397-c839-493a-b908-88251ae05924,Café Presto Soluble 200g,122,12,10,2,122,0
933c6ed6-0077-44c3-9da5-76aec390954d,4e2d3397-c839-493a-b908-88251ae05924,Café Toro Molido 400g,316,24,13,4,316,0
149e68ff-f707-42b2-bc84-a244c6b6b1a1,4e2d3397-c839-493a-b908-88251ae05924,Cereal Froot Loops Kellogg’s 250g,150,12,12,6,150,0
106a0566-ef27-4774-bc27-8fdc9ce15bac,4e2d3397-c839-493a-b908-88251ae05924,Cloro Magia Blanca 1 Litro,115,15,7,10,115,0
97ef5ea1-cd69-4d9b-9a29-7c33a7dfaf5e,4e2d3397-c839-493a-b908-88251ae05924,Coca-Cola Desechable 3 Litros,251,6,41,5,251,0
31756211-4862-484d-8405-24f01b8a209d,4e2d3397-c839-493a-b908-88251ae05924,Consomé Maggi Pollo 10 Cubitos,382,24,15,22,382,0
faeff68a-57c5-413b-bea9-4ea21c07b456,4e2d3397-c839-493a-b908-88251ae05924,Desodorante Rexona Clinical Men 48g,182,12,15,2,182,0
3ad837a7-5f04-4d26-a6a4-903e8dfc1e72,4e2d3397-c839-493a-b908-88251ae05924,Detergente Omo Extra Concentrado 1Kg,388,12,32,4,388,0
fef920b6-b7a2-4be4-834e-4bcc2316d1a5,4e2d3397-c839-493a-b908-88251ae05924,Doritos Queso Atrevido 45g,160,36,4,16,160,0
e32a0560-5898-4d41-a77a-5f3c30ddafb9,4e2d3397-c839-493a-b908-88251ae05924,Fideos Laky Chow Mein 200g,263,24,10,23,263,0
7448050c-fe9c-4003-9a96-c68ab66eafe5,4e2d3397-c839-493a-b908-88251ae05924,Flor de Caña 7 Años Gran Reserva 750ml,221,12,18,5,221,0
d4b7388d-6bb6-4154-9779-60dd42c6bb92,4e2d3397-c839-493a-b908-88251ae05924,Fósforos El Relámpago Pqt 10 cajas,411,50,8,11,411,0
5e61e39a-4fb9-4fc9-9cb6-a452f97e3ee1,4e2d3397-c839-493a-b908-88251ae05924,Frijol Negro Blandito 1 Lb,481,24,20,1,481,0
465a308c-115d-4a7b-b1f1-faabd68d1422,4e2d3397-c839-493a-b908-88251ae05924,Frijol Rojo Seda Blandito 1 Lb,156,24,6,12,156,0
8048b08d-f829-4072-b72a-a0bd7ba6b94f,4e2d3397-c839-493a-b908-88251ae05924,Galletas Chiky Chocolate 6 Und,359,24,14,23,359,0
44c8d071-30c3-44f3-8029-1e5bc1ee6242,4e2d3397-c839-493a-b908-88251ae05924,Galletas Club Max 12 Und,341,24,14,5,341,0
2c3f6a89-e663-4c35-9a65-d1240270367f,4e2d3397-c839-493a-b908-88251ae05924,Gatorade Naranja 500ml,388,12,32,4,388,0
0be1c270-b739-4985-9ce7-d45ca4d54bec,4e2d3397-c839-493a-b908-88251ae05924,Jabón Protex Avena 3x110g,370,12,30,10,370,0
f65a6470-ba31-4602-9e01-4334711ee07a,4e2d3397-c839-493a-b908-88251ae05924,Jugo del Valle Naranja 1L,341,12,28,5,341,0
0d1db104-0dbf-45d8-8f59-a29fed00a659,4e2d3397-c839-493a-b908-88251ae05924,Leche Dos Pinos Descremada 1L,308,12,25,8,308,0
